Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Purple Wings Coaches,A/C Seater / Sleeper (2+1),04:05,06:00,01h 55m,INR 450,36 Seats available,"3.7
18",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),06:25,08:30,02h 05m,INR 275,41 Seats available,"4.5
39",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Kanchan Travels,AC Seater (2+2),06:35,08:30,01h 55m,INR 288.2,31 Seats available,"4.6
9",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),06:50,08:55,02h 05m,312,40 Seats available,"4.5
5",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Orient Transline,A/C Seater (2+1),07:00,09:00,02h 00m,INR 333.33,37 Seats available,"4.7
21",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Orient Transline,A/C Seater (2+1),08:00,10:10,02h 10m,INR 333.33,32 Seats available,"4.5
9",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),09:10,11:40,02h 30m,364,42 Seats available,"4.9
38",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Orient Transline,A/C Seater (2+1),08:50,11:00,02h 10m,INR 333.33,36 Seats available,"4.5
33",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Anindita Travels,NON A/C Seater (2+1),09:15,11:30,02h 15m,INR 400,37 Seats available,"4.1
8",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
NETWORK TRAVELS,NON A/C Seater (2+2),10:00,14:30,04h 30m,INR 350,40 Seats available,3.8,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
TRINAYAN TRANSPORT (Under ASTC),A/C Seater (2+1),12:15,14:30,02h 15m,420,34 Seats available,"3.7
19",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Baikuntha Transport Service,Bharat Benz A/C Seater (2+1),14:00,17:00,03h 00m,400,29 Seats available,"3.5
23",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Nishigandha(Divya Tours & Travels),A/C Seater / Sleeper (2+1),15:15,17:50,02h 35m,380,37 Seats available,New,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,17:00,02h 30m,INR 291.57,36 Seats available,"4.4
93",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Ortive Travels,Bharat Benz A/C Seater (2+1),14:45,17:00,02h 15m,INR 400,38 Seats available,3.5,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
SHIVAM TRAVELS,NON A/C Seater (2+2),16:45,19:15,02h 30m,INR 390,36 Seats available,"4.5
28",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,17:00,19:15,02h 15m,INR 291.57,38 Seats available,"4.6
90",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Kareng Travels,Non AC Seater (2+2),07:15,09:30,02h 15m,285,45 Seats available,2.9,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),07:15,09:40,02h 25m,301,35 Seats available,"2.8
14",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Pranjit Travels (Under ASTC),Non AC Seater (2+1),11:55,15:00,03h 05m,360,37 Seats available,2.4,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Pranjit Travels (Under ASTC),Non AC Seater (2+1),13:00,15:45,02h 45m,270,28 Seats available,"1.9
5",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Pranjit Travels (Under ASTC),Non AC Seater (2+1),13:45,16:45,03h 00m,315,37 Seats available,2.4,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Puja (Kaybom),A/C Seater Push Back (2+2),07:50,10:00,02h 10m,314,40 Seats available,2.8,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Kareng Travels,Non AC Seater (2+1),14:15,16:45,02h 30m,INR 300,32 Seats available,"1.3
5",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Christina Travels,NON A/C Seater (2+2),16:00,18:20,02h 20m,650,45 Seats available,3.2,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Nagaon (Assam) to Guwahati
Assam State Transport Corporation (ASTC) - 142178,Bharat Benz A/C Seater (2+2),06:45,13:00,06h 15m,INR 405,10 Seats available,"4.0
159",https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Jorhat to North Lakhimpur
Padmanav Travels,NON A/C Seater Push Back (2+2),06:00,13:45,07h 45m,561,33 Seats available,"2.4
29",https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Jorhat to North Lakhimpur
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:55,09:00,03h 05m,INR 213,30 Seats available,"4.0
275",https://www.redbus.in/bus-tickets/dhekiajuli-to-guwahati,Dhekiajuli to Guwahati
Upasana Travels (Under ASTC),A/C Seater (2+2),07:15,10:40,03h 25m,INR 235,23 Seats available,"2.2
21",https://www.redbus.in/bus-tickets/dhekiajuli-to-guwahati,Dhekiajuli to Guwahati
Assam State Transport Corporation (ASTC) - 152652,Bharat Benz A/C Seater (2+2),06:30,13:00,06h 30m,INR 399,20 Seats available,"4.5
86",https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,North Lakhimpur to Jorhat
Padmanav Travels,NON A/C Seater Push Back (2+2),05:30,13:35,08h 05m,561,41 Seats available,"3.0
19",https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,North Lakhimpur to Jorhat
Priyanka,Non AC Seater (2+1),17:30,05:00,11h 30m,INR 600,34 Seats available,3.7,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,North Lakhimpur to Jorhat
Assam State Transport Corporation (ASTC) - 142178,Bharat Benz A/C Seater (2+2),06:45,11:20,04h 35m,INR 296,11 Seats available,"3.5
58",https://www.redbus.in/bus-tickets/jorhat-to-dhemaji,Jorhat to Dhemaji
NETWORK TRAVELS,Non A/C Seater / Sleeper (2+1),00:30,05:30,05h 00m,500,43 Seats available,"4.2
11",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Purple Wings Coaches,A/C Seater / Sleeper (2+1),01:15,05:05,03h 50m,602,35 Seats available,"3.5
9",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Purple Wings Coaches,A/C Seater / Sleeper (2+1),01:20,05:15,03h 55m,621,22 Seats available,3.5,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
NETWORK TRAVELS,NON A/C Seater Push Back (2+1),04:01,09:30,05h 29m,500,31 Seats available,"4.5
13",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Aniruddha Travels,AC Seater (2+2),11:45,17:30,05h 45m,475,42 Seats available,"3.9
32",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Aroti Travels (Under ASTC),Non AC Seater (2+2),12:20,17:50,05h 30m,360,37 Seats available,"3.6
23",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Christina Travels,NON A/C Seater (2+2),12:30,18:00,05h 30m,450,45 Seats available,3.2,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Atlanta Travels,Volvo A/C Seater (2+2),12:45,18:15,05h 30m,540,43 Seats available,New,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,18:30,05h 00m,INR 734.02,29 Seats available,"4.5
60",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
MADHURIKA TRAVELS,A/C Seater (2+1),12:45,18:00,05h 15m,INR 600,33 Seats available,"1.8
8",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Assam State Transport Corporation (ASTC) - 152652,Bharat Benz A/C Seater (2+2),07:45,13:00,05h 15m,INR 298,20 Seats available,"4.5
58",https://www.redbus.in/bus-tickets/dhemaji-to-jorhat,Dhemaji to Jorhat
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),09:30,15:00,05h 30m,INR 400,31 Seats available,"3.4
35",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,16:30,06h 30m,467,40 Seats available,"4.2
171",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Kanchan Travels,AC Seater (2+2),10:45,17:25,06h 40m,428,30 Seats available,"3.3
34",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Orient Transline,A/C Seater (2+1),11:30,17:10,05h 40m,INR 476.19,37 Seats available,"4.4
148",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Orient Transline,A/C Seater (2+1),12:45,19:10,06h 25m,INR 476.19,35 Seats available,"4.0
71",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,19:20,05h 05m,477,44 Seats available,"4.5
106",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Aziba Travels,NON A/C Seater (2+1),05:45,11:50,06h 05m,396,35 Seats available,"4.6
26",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),10:30,17:00,06h 30m,437,35 Seats available,"2.7
26",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Laxmi Travels,A/C Seater (2+1),06:15,12:10,05h 55m,400,37 Seats available,3.6,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Yatra Travels,NON A/C Seater (2+1),07:00,12:40,05h 40m,425,32 Seats available,"4.1
92",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,12:00,05h 00m,INR 550.23,30 Seats available,"4.7
92",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),07:45,15:00,07h 15m,450,34 Seats available,"3.6
27",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,00:00,05h 15m,425,47 Seats available,"4.4
33",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Orient Transline,A/C Seater (2+1),12:15,18:00,05h 45m,INR 476.19,34 Seats available,"4.6
15",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Yatra Travels,NON A/C Seater (2+1),18:00,01:30,07h 30m,425,32 Seats available,"3.3
42",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),18:15,00:10,05h 55m,630,1 Seat available,"3.6
22",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,02:00,06h 00m,400,31 Seats available,3.4,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Yatra Travels,A/C Seater / Sleeper (2+1),20:00,03:15,07h 15m,525,45 Seats available,4.1,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),19:30,02:15,06h 45m,INR 500,47 Seats available,"3.2
15",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Pranjit Travels (Under ASTC),NON A/C (2+1),20:15,01:30,05h 15m,450,29 Seats available,3.6,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Guwahati to Biswanath Charali
Assam State Transport Corporation (ASTC) - 96880,A/C Seater (2+1),08:00,16:00,08h 00m,INR 463,28 Seats available,"3.5
77",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Aniruddha Travels,AC Seater (2+2),07:50,16:15,08h 25m,570,43 Seats available,"4.1
143",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),19:30,04:00,08h 30m,570,45 Seats available,"3.6
157",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Puja Transport,NON AC Seater / Sleeper 2+1,20:00,04:30,08h 30m,585,23 Seats available,"3.4
44",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Puja Transport,Non AC Seater (2+2),20:00,05:00,09h 00m,540,27 Seats available,"3.4
20",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,05:00,07h 30m,570,47 Seats available,"3.9
7",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
MOON TRAVELS,AC Seater (2+2),07:15,15:20,08h 05m,INR 550,38 Seats available,"2.9
27",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
J.S. Travels,Non AC Seater (2+1),20:30,04:00,07h 30m,INR 550,32 Seats available,"2.5
23",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Neha Travels,NON A/C Seater (2+2),22:30,06:30,08h 00m,644,35 Seats available,"1.6
6",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Neha Travels,NON A/C Seater (2+2),22:10,04:00,05h 50m,666,35 Seats available,"2.0
4",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
KIRTI TRAVELS,NON A/C Seater/ Sleeper (2+1),20:00,04:30,08h 30m,INR 550,47 Seats available, ,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Tezpur to Dibrugarh
Maa Jagadamba,A/C Seater Push Back (2+2),09:20,14:15,04h 55m,INR 240,41 Seats available,3.4,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Maa Jagadamba,A/C Seater Push Back (2+2),09:40,14:25,04h 45m,INR 240,41 Seats available,"3.4
12",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
BARBIE TRAVELS,NON A/C Hi-Tech Push Back (2+2),06:00,10:20,04h 20m,INR 240,40 Seats available,2.8,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
BARBIE TRAVELS,NON A/C Hi-Tech Push Back (2+2),07:55,12:30,04h 35m,INR 240,40 Seats available,2.8,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
BARBIE TRAVELS,A/C Seater Push Back (2+2),10:20,13:40,03h 20m,INR 280,40 Seats available,"2.8
7",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,INR 400,46 Seats available,"3.9
7",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),07:00,10:35,03h 35m,INR 333,32 Seats available,"4.4
44",https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Sparrow Travels (Under ASTC),A/C Seater Push Back (2+2),10:40,16:00,05h 20m,INR 420,40 Seats available,3.2,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Sparrow Travels (Under ASTC),Non AC Seater (2+2),12:30,18:45,06h 15m,INR 350,40 Seats available,3.2,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Mahadev K.P.,Tata A/C Seater (2+2),05:00,10:15,05h 15m,INR 460,41 Seats available,1.8,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Tuk Tuk(Dhon Dhon),NON A/C Seater (2+2),05:30,09:30,04h 00m,271,41 Seats available,New,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Mahadev K.P.,Tata A/C Seater (2+2),05:20,10:30,05h 10m,INR 460,41 Seats available,"1.8
3",https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Tuk Tuk(Dhon Dhon),NON A/C Seater (2+2),06:10,10:40,04h 30m,271,41 Seats available,New,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Tuk Tuk(Dhon Dhon),NON A/C Seater (2+2),06:40,11:10,04h 30m,271,41 Seats available,New,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Aziba Travels,NON A/C Seater (2+1),05:35,09:45,04h 10m,396,35 Seats available,4.1,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Tuk Tuk(Dhon Dhon),NON A/C Seater (2+2),06:50,10:20,03h 30m,271,41 Seats available,New,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Tuk Tuk(Dhon Dhon),NON A/C Seater (2+2),07:00,11:00,04h 00m,271,41 Seats available,New,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Pranjit Travels (Under ASTC),NON A/C (2+1),07:15,11:30,04h 15m,405,37 Seats available,"3.5
5",https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
Debarath,A/C Seater Hi-Tech Push Back (2+2),10:00,15:45,05h 45m,INR 460,40 Seats available,"1.5
3",https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,North Lakhimpur to Tezpur
